@relation temp-relation

@attribute n-grams/CharacterNGramMeasure_2 numeric
@attribute n-grams/CharacterNGramMeasure_3 numeric
@attribute n-grams/CharacterNGramMeasure_4 numeric
@attribute n-grams/WordNGramContainmentMeasure_1_stopword-filtered numeric
@attribute n-grams/WordNGramContainmentMeasure_2_stopword-filtered numeric
@attribute n-grams/WordNGramJaccardMeasure_1 numeric
@attribute n-grams/WordNGramJaccardMeasure_2_stopword-filtered numeric
@attribute n-grams/WordNGramJaccardMeasure_3 numeric
@attribute n-grams/WordNGramJaccardMeasure_4 numeric
@attribute n-grams/WordNGramJaccardMeasure_4_stopword-filtered numeric
@attribute string/GreedyStringTiling_3 numeric
@attribute string/LongestCommonSubsequenceComparator numeric
@attribute string/LongestCommonSubsequenceNormComparator numeric
@attribute string/LongestCommonSubstringComparator numeric
@attribute string/SWO numeric
@attribute gold real

@data
0.46307666934025327,0.44154674413912354,0.47621155642551194,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.5,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.7692307692307693,0.8979591836734694,0.8461538461538461,0.8163265306122449,1.0,5.0
0.5035558023600858,0.5677922252084566,0.5209062958241157,0.9,0.3333333333333333,0.9,0.21428571428571427,0.07142857142857142,0.0,0.0,0.8,0.8947368421052632,0.85,0.5,0.9739622178038352,5.0
0.6537909749840498,0.5280844347234162,0.5836061202776129,0.75,0.3333333333333333,0.6,0.2,0.0,0.0,0.0,0.8421052631578947,0.8947368421052632,0.8947368421052632,0.631578947368421,0.4811451282588992,0.3
0.5511463790002192,0.5455963073839836,0.5117830647764618,0.8888888888888888,0.7777777777777778,0.7272727272727273,0.5833333333333334,0.4166666666666667,0.25,0.25,0.9024390243902439,0.8941176470588236,0.926829268292683,0.5176470588235293,0.6337791311062344,0.6
0.4916890198346934,0.6002098664371484,0.6122050422654601,0.8571428571428571,0.6666666666666666,0.75,0.5,0.25,0.0,0.0,0.8571428571428571,0.8928571428571429,0.8928571428571429,0.4642857142857143,0.8895596131253162,4.2
0.7247007577937137,0.5998640482888841,0.4724839140615381,0.8333333333333334,0.6,0.7142857142857143,0.42857142857142855,0.14285714285714285,0.0,0.0,0.8888888888888888,0.8928571428571429,0.9259259259259259,0.4642857142857143,0.6897789133357989,3.6
0.8300704071208861,0.8370476898769224,0.7441540017774998,0.8333333333333334,0.6,0.7142857142857143,0.42857142857142855,0.14285714285714285,0.0,0.0,0.8571428571428571,0.8928571428571429,0.8928571428571429,0.4642857142857143,0.8895596131253162,5.0
0.624209836319374,0.5394413054399073,0.39551959240795426,0.8333333333333334,0.3333333333333333,0.625,0.2,0.0,0.0,0.0,0.8846153846153846,0.8928571428571429,0.9615384615384616,0.5357142857142857,0.8745673497448233,2.75
0.896236522104734,0.7998334652429377,0.732143872599478,0.75,0.5714285714285714,0.6666666666666666,0.4444444444444444,0.2222222222222222,0.125,0.125,0.8,0.8888888888888888,0.8,0.3492063492063492,0.7200465152874295,5.0
0.5093149362633455,0.5144421011838318,0.5454779278097914,0.75,0.625,0.6666666666666666,0.5,0.4444444444444444,0.375,0.375,0.7058823529411765,0.8888888888888888,0.8235294117647058,0.7619047619047619,0.7137625918731032,3.75
